USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
kaustubh           902   0.0  0.0 410321104   7056   ??  Ss    5:40PM   0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
kaustubh           901   0.0  0.0 410330320   7120   ??  Ss    5:40PM   0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
kaustubh           900   0.0  0.0 410312912   7040   ??  Ss    5:40PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
kaustubh           899   0.0  0.1 410490896  20784   ??  Ss    5:40PM   0:00.04 /System/Library/PrivateFrameworks/TextToSpeechMauiSupport.framework/Versions/A/PlugIns/MauiAUSP.appex/Contents/MacOS/MauiAUSP -AppleLanguages ("en-GB", "en-IN")
kaustubh           898   0.0  0.1 426973456  18320   ??  S     5:40PM   0:00.32 /System/Library/PrivateFrameworks/TextToSpeechVoiceBankingSupport.framework/Support/voicebankingd
kaustubh           897   0.0  0.1 411034224   8656   ??  Ss    5:40PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AUCrashHandlerService.xpc/Contents/MacOS/AUCrashHandlerService
kaustubh           896   0.0  0.1 410489808  21712   ??  Ss    5:40PM   0:00.04 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/MacinTalkAUSP.appex/Contents/MacOS/MacinTalkAUSP -AppleLanguages ("en-GB", "en-IN")
kaustubh           895   0.0  0.0 410311888   6976   ??  Ss    5:40PM   0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
kaustubh           894   0.0  0.1 410357056  16400   ??  Ss    5:40PM   0:00.02 /System/Library/PrivateFrameworks/MacinTalk.framework/Versions/A/PlugIns/WardaSynthesizer_arm64.appex/Contents/MacOS/WardaSynthesizer_arm64 -AppleLanguages ("en-GB", "en-IN")
kaustubh           893   0.0  0.0 410321104   7040   ??  Ss    5:40PM   0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
kaustubh           891   0.0  0.1 410356608  13872   ??  Ss    5:40PM   0:00.02 /System/Library/PrivateFrameworks/TextToSpeechKonaSupport.framework/Versions/A/PlugIns/KonaSynthesizer.appex/Contents/MacOS/KonaSynthesizer -AppleLanguages ("en-GB", "en-IN")
kaustubh           890   0.0  0.1 410254160  14448   ??  Ss    5:40PM   0:00.04 /System/Library/PrivateFrameworks/TextToSpeech.framework/PlugIns/SiriAUSP.appex/Contents/MacOS/SiriAUSP -AppleLanguages ("en-GB", "en-IN")
kaustubh           889   0.0  0.2 426975568  27696   ??  Ss    5:40PM   0:00.93 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
root               888   0.0  0.0 426932528   4224   ??  Ss    5:40PM   0:00.02 /System/Library/CoreServices/CrashReporterSupportHelper server-init
kaustubh           887   0.0  0.0 410190192   4000   ??  Ss    5:40PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.ComponentTagHelper.xpc/Contents/MacOS/com.apple.audio.ComponentTagHelper
root               880   0.0  0.2 426970848  25952   ??  Ss    5:40PM   0:00.62 /System/Library/CoreServices/SubmitDiagInfo server-init
root               884   0.0  0.1 426966592  10848   ??  Ss    5:40PM   0:00.11 /usr/libexec/triald_system
kaustubh           877   0.0  0.0 426928976   3248   ??  Ss    5:40PM   0:00.02 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
kaustubh           876   0.0  0.0 426933136   5376   ??  S     5:40PM   0:00.03 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
kaustubh           875   0.0  0.1 426966816  12512   ??  S     5:40PM   0:00.21 /usr/libexec/inputanalyticsd
root               874   0.0  0.0 426929408   4128   ??  Ss    5:40PM   0:00.02 /System/Library/CoreServices/ReportCrash daemon
kaustubh           873   0.0  0.1 411052992  24208   ??  S     5:40PM   0:00.15 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreautha.bundle/Contents/MacOS/coreautha
root               872   0.0  0.1 426957792  17936   ??  Ss    5:40PM   0:00.51 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
kaustubh           871   0.0  0.2 411504880  32688   ??  Ss    5:40PM   0:01.06 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
kaustubh           870   0.0  0.3 427030208  45984   ??  Ss    5:40PM   0:00.38 /System/Library/PrivateFrameworks/LocalAuthenticationUI.framework/Versions/A/XPCServices/LocalAuthenticationRemoteService.xpc/Contents/MacOS/LocalAuthenticationRemoteService
kaustubh           869   0.0  0.3 412043232  49456   ??  Ss    5:40PM   0:00.91 /System/Library/PrivateFrameworks/SiriSuggestionsSupport.framework/Versions/A/XPCServices/SiriSuggestionsBookkeepingService.xpc/Contents/MacOS/SiriSuggestionsBookkeepingService
kaustubh           866   0.0  0.1 426967168  14832   ??  S     5:40PM   0:00.13 /usr/libexec/diagnosticextensionsd
kaustubh           864   0.0  0.5 411081056  79152   ??  S     5:40PM   0:02.13 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
kaustubh           865   0.0  0.1 426966912  13872   ??  S     5:40PM   0:00.06 /System/Library/PrivateFrameworks/LockdownMode.framework/Versions/A/XPCServices/lockdownmoded
kaustubh           863   0.0  0.1 426975120  23072   ??  S     5:40PM   0:00.36 /System/Library/PrivateFrameworks/People.framework/peopled
kaustubh           862   0.0  0.0 426933104   7008   ??  Ss    5:40PM   0:00.03 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
root               855   0.0  0.1 426972688  12064   ??  Ss    5:40PM   0:00.18 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
_driverkit         854   0.0  0.0 426851568   1552   ??  Ss    5:40PM   0:00.01 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000efb com.apple.IOUserBluetoothSerialDriver
_driverkit         853   0.0  0.0 426851568   1552   ??  Ss    5:40PM   0:00.01 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000ef9 com.apple.IOUserBluetoothSerialDriver
kaustubh           851   0.0  0.3 427127744  41952   ??  S     5:40PM   0:00.22 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
kaustubh           850   0.0  0.2 426978064  25568   ??  SN    5:40PM   0:03.34 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
kaustubh           848   0.0  0.1 426932848  10480   ??  S     5:40PM   0:00.02 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
kaustubh           847   0.0  0.1 426970544  14016   ??  S     5:40PM   0:00.28 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
kaustubh           846   0.0  0.3 426975552  43520   ??  S     5:40PM   0:03.22 /usr/libexec/siriknowledged
kaustubh           845   0.0  0.4 426989248  60096   ??  Ss    5:40PM   0:01.42 /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/Versions/A/XPCServices/com.apple.siri.embeddedspeech.xpc/Contents/MacOS/com.apple.siri.embeddedspeech
kaustubh           842   0.0  0.1 426969152  13424   ??  S     5:40PM   0:00.19 /System/Library/Frameworks/ClassKit.framework/Versions/A/progressd
root               844   0.0  0.1 426966880  11680   ??  Ss    5:40PM   0:02.04 /usr/libexec/audioanalyticsd
kaustubh           843   0.0  0.1 426972416  20000   ??  S     5:40PM   0:00.14 /usr/libexec/milod
kaustubh           840   0.0  0.1 426967136   9936   ??  S     5:40PM   0:01.31 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/ModelCatalogAgent
kaustubh           839   0.0  1.3 427005712 219088   ??  S     5:40PM   0:05.02 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
kaustubh           837   0.0  0.1 426934352  12928   ??  S     5:40PM   0:00.07 /usr/libexec/seserviced
_assetcache        836   0.0  0.1 426969024  13584   ??  Ss    5:40PM   0:00.10 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -d
_audiomxd          835   0.0  0.1 426965664  13776   ??  Ss    5:40PM   0:00.34 /usr/libexec/audiomxd
kaustubh           827   0.0  0.8 410623568 134512   ??  Ss    5:40PM   0:31.67 /Applications/WhatsApp.app/Contents/PlugIns/ServiceExtension.appex/Contents/MacOS/ServiceExtension -AppleLanguages ("en-GB", "en-IN")
_fpsd              825   0.0  0.1 426948496  16608   ??  Ss    5:40PM   0:00.13 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
kaustubh           823   0.0  0.0 426967376   4416   ??  S     5:40PM   0:00.33 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
kaustubh           817   0.0  0.1 411355408  14480   ??  Ss    5:40PM   0:00.17 /System/Library/PrivateFrameworks/StocksKit.framework/XPCServices/StocksKitService.xpc/Contents/MacOS/StocksKitService
_fpsd              821   0.0  0.1 427004864  20704   ??  Ss    5:40PM   0:01.70 /usr/libexec/fairplaydeviceidentityd
kaustubh           820   0.0  0.1 426975296  22000   ??  S     5:40PM   0:00.33 /usr/libexec/promotedcontentd
root               819   0.0  0.1 411203504  20128   ??  Ss    5:40PM   0:00.19 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
kaustubh           818   0.0  0.1 426972080  15568   ??  S     5:40PM   0:00.12 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
kaustubh           816   0.0  0.1 427099792  17040   ??  S     5:40PM   0:00.94 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -u
kaustubh           815   0.0  0.0 426967552   6928   ??  S     5:40PM   0:00.11 /System/Library/CoreServices/ScopedBookmarkAgent
kaustubh           814   0.0  0.1 426973776  23168   ??  S     5:40PM   0:00.37 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
kaustubh           679   0.0  0.1 426968208  16592   ??  S     5:39PM   0:00.34 /System/Library/CoreServices/diagnostics_agent
kaustubh           739   0.0  0.1 426969392   9728   ??  S     5:39PM   0:00.16 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
kaustubh           661   0.0  0.1 426968720  24448   ??  S     5:39PM   0:04.25 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
kaustubh           706   0.0  0.0 426933504   4496   ??  S     5:39PM   0:00.03 /System/Library/Frameworks/FamilyControls.framework/Versions/A/FamilyControlsAgent
kaustubh           813   0.0  0.1 426969040  14800   ??  S     5:39PM   0:00.13 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
root               811   0.0  0.1 411331296  11440   ??  Ss    5:39PM   0:00.08 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
root               812   0.0  0.1 411466688  10640   ??  Ss    5:39PM   0:00.17 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
kaustubh           800   0.0  0.2 427008144  41488   ??  S     5:39PM   0:10.27 /usr/libexec/duetexpertd
kaustubh           801   0.0  0.1 426968448  22064   ??  S     5:39PM   0:01.06 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
root               798   0.0  0.1 410921920   9184   ??  Ss    5:39PM   0:00.03 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Versions/A/XPCServices/com.apple.AppStoreDaemon.StorePrivilegedODRService.xpc/Contents/MacOS/com.apple.AppStoreDaemon.StorePrivilegedODRService
_installcoordinationd   796   0.0  0.1 426933440  10048   ??  Ss    5:39PM   0:00.04 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
kaustubh           794   0.0  0.0 426929008   4240   ??  S     5:39PM   0:00.01 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
kaustubh           793   0.0  0.3 427015680  47968   ??  S     5:39PM   0:01.28 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
root               792   0.0  0.0 426933088   5120   ??  Ss    5:39PM   0:00.04 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
root               791   0.0  0.0 426933088   5024   ??  Ss    5:39PM   0:00.04 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
kaustubh           790   0.0  0.1 426969104  18496   ??  S     5:39PM   0:01.92 /usr/libexec/swcd
root               789   0.0  0.0 426940816   8240   ??  Ss    5:39PM   0:00.04 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
_applepay          786   0.0  0.0 426933024   5504   ??  S     5:39PM   0:00.16 /usr/sbin/distnoted agent
root               788   0.0  0.1 426980416  15872   ??  Ss    5:39PM   0:00.27 /usr/sbin/systemsoundserverd
_assetcache        787   0.0  0.1 426969760  12368   ??  Ss    5:39PM   0:00.05 /usr/libexec/AssetCache/AssetCache
_applepay          785   0.0  0.0 410809840   7568   ??  Ss    5:39PM   0:00.02 /System/Library/PrivateFrameworks/NearFieldPrivateServices.framework/Versions/A/XPCServices/NFStorageServer.xpc/Contents/MacOS/NFStorageServer
root               784   0.0  0.0 426928992   4048   ??  Ss    5:39PM   0:00.04 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
kaustubh           783   0.0  0.2 426981888  27360   ??  S     5:39PM   0:10.53 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
kaustubh           782   0.0  0.1 410641536   9024   ??  S     5:39PM   0:00.04 /usr/libexec/SidecarRelay
_applepay          781   0.0  0.1 426968688  15184   ??  Ss    5:39PM   0:00.48 /usr/libexec/nfcd
root               777   0.0  0.0 410640832   3904   ??  Ss    5:39PM   0:00.02 /System/Library/PrivateFrameworks/FindMyDevice.framework/XPCServices/FindMyDeviceSharedConfigurationXPCService.xpc/Contents/MacOS/FindMyDeviceSharedConfigurationXPCService
kaustubh           776   0.0  0.1 426972736  22560   ??  S     5:39PM   0:00.66 /System/Library/Frameworks/FinanceKit.framework/financed
kaustubh           775   0.0  0.1 411466704  17504   ??  Ss    5:39PM   0:00.17 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
kaustubh           673   0.0  0.1 426969568  12128   ??  S     5:39PM   0:00.18 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
_netbios           774   0.0  0.0 426933488   5200   ??  SNs   5:39PM   0:00.15 /usr/sbin/netbiosd
kaustubh           662   0.0  0.2 426985616  30160   ??  S     5:39PM   0:02.81 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
kaustubh           773   0.0  0.1 426973168  24976   ??  S     5:39PM   0:00.42 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
kaustubh           772   0.0  0.0 426933136   7280   ??  S     5:39PM   0:00.03 /System/Library/CoreServices/APFSUserAgent
kaustubh           771   0.0  0.1 427286112  15968   ??  S     5:39PM   0:00.77 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
_fpsd              770   0.0  0.0 426936304   6720   ??  Ss    5:39PM   0:00.54 /System/Library/PrivateFrameworks/CoreADI.framework/adid
_captiveagent      769   0.0  0.1 426968032  12080   ??  Ss    5:39PM   0:00.08 /usr/libexec/captiveagent
kaustubh           768   0.0  0.1 426967600  21168   ??  S     5:39PM   0:00.22 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
kaustubh           767   0.0  0.1 426971280  16848   ??  S     5:39PM   0:00.19 /usr/libexec/swtransparencyd
kaustubh           766   0.0  0.2 426970976  26704   ??  S     5:39PM   0:00.85 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
root               765   0.0  0.1 426967408  11584   ??  Ss    5:39PM   0:00.10 /usr/libexec/countryd
kaustubh           764   0.0  0.1 426933264  10720   ??  S     5:39PM   0:00.05 /usr/libexec/keychainsharingmessagingd
kaustubh           763   0.0  0.2 411133824  33040   ??  S     5:39PM   0:00.60 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
kaustubh           762   0.0  0.3 426988832  58048   ??  S     5:39PM   0:02.34 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
kaustubh           761   0.0  0.1 426933056   9376   ??  S     5:39PM   0:00.04 /System/Library/PrivateFrameworks/CoreThreadCommissionerService.framework/CoreThreadCommissionerServiced
kaustubh           760   0.0  0.2 426997952  36816   ??  S     5:39PM   0:01.39 /usr/libexec/linkd
kaustubh           759   0.0  0.1 411764976  25040   ??  Ss    5:39PM   0:00.86 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
kaustubh           758   0.0  0.1 426967008  11680   ??  S     5:39PM   0:00.77 /System/Library/CoreServices/lockoutagent
root               757   0.0  0.0 426934128   6576   ??  Ss    5:39PM   0:00.05 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
root               756   0.0  0.1 426967936  18848   ??  Ss    5:39PM   0:00.89 /usr/libexec/wifianalyticsd
kaustubh           754   0.0  0.5 427058048  78768   ??  Ss    5:39PM   0:01.05 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension
kaustubh           753   0.0  0.2 426997008  36208   ??  Ss    5:39PM   0:00.24 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
kaustubh           740   0.0  0.5 427237888  80208   ??  Ss    5:39PM   0:00.60 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget
kaustubh           752   0.0  0.2 426993120  37824   ??  S     5:39PM   0:02.92 /usr/libexec/searchpartyuseragent
kaustubh           749   0.0  0.1 426967280  13936   ??  S     5:39PM   0:00.07 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
kaustubh           748   0.0  0.1 426984736  19584   ??  S     5:39PM   0:00.15 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
kaustubh           747   0.0  0.1 426923696  20048   ??  S     5:39PM   0:00.16 /usr/libexec/avconferenced
kaustubh           746   0.0  0.0 426928416   4880   ??  S     5:39PM   0:00.04 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
kaustubh           742   0.0  0.2 431365744  34896   ??  S     5:39PM   0:04.14 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
kaustubh           744   0.0  0.1 426965968  13584   ??  S     5:39PM   0:00.19 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
kaustubh           743   0.0  0.2 426974064  33344   ??  S     5:39PM   0:06.82 /System/Library/Frameworks/Contacts.framework/Support/contactsd
kaustubh           745   0.0  0.1 410669776  18304   ??  S     5:39PM   0:00.24 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
kaustubh           741   0.0  0.1 410534672  13840   ??  Ss    5:39PM   0:00.04 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
kaustubh           682   0.0  0.1 426972336  22768   ??  S     5:39PM   0:00.50 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
kaustubh           731   0.0  0.4 427016304  59280   ??  Ss    5:39PM   0:03.05 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget
kaustubh           738   0.0  0.2 427075088  37024   ??  S     5:39PM   0:00.14 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
kaustubh           664   0.0  0.2 426968080  32272   ??  S     5:39PM   0:07.00 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
kaustubh           660   0.0  0.2 426979104  40048   ??  S     5:39PM   0:01.92 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
root               737   0.0  0.0 410358432   6704   ??  Ss    5:39PM   0:00.01 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
kaustubh           734   0.0  0.2 426972112  29440   ??  S     5:39PM   0:00.40 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
kaustubh           733   0.0  0.2 426989232  37472   ??  S     5:39PM   0:01.91 /usr/libexec/networkserviceproxy
kaustubh           730   0.0  0.4 426980848  61232   ??  S     5:39PM   0:02.00 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
kaustubh           723   0.0  0.5 427263328  78352   ??  Ss    5:39PM   0:00.73 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
kaustubh           729   0.0  0.2 426974912  26400   ??  S     5:39PM   0:00.22 /usr/libexec/appleaccountd
_gamecontrollerd   727   0.0  0.0 426933024   5488   ??  S     5:39PM   0:00.16 /usr/sbin/distnoted agent
kaustubh           728   0.0  0.1 426933120   9936   ??  S     5:39PM   0:00.22 /usr/libexec/gamecontrolleragentd
kaustubh           726   0.0  0.2 426978352  31296   ??  S     5:39PM   0:03.45 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
kaustubh           725   0.0  0.1 426979376  20128   ??  S     5:39PM   0:00.28 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
kaustubh           724   0.0  0.0 410348928   4400   ??  Ss    5:39PM   0:00.01 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
kaustubh           722   0.0  0.1 426971408  23760   ??  S     5:39PM   0:00.67 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
kaustubh           714   0.0  0.2 427020080  34960   ??  Ss    5:39PM   0:00.56 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
kaustubh           719   0.0  0.2 426983792  30640   ??  S     5:39PM   0:00.65 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
kaustubh           720   0.0  0.2 411327392  29216   ??  S     5:39PM   0:02.79 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
root               718   0.0  0.1 426977584  20576   ??  Ss    5:39PM   0:02.14 /usr/libexec/gamepolicyd
kaustubh           716   0.0  0.0 410216864   3680   ??  Ss    5:39PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
kaustubh           715   0.0  0.7 432342064 111056   ??  S     5:39PM   0:04.28 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
kaustubh           676   0.0  0.1 426934144   9616   ??  S     5:39PM   0:00.05 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
kaustubh           713   0.0  0.3 426983968  57440   ??  S     5:39PM   0:01.00 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
kaustubh           712   0.0  0.1 426943376  12112   ??  Ss    5:39PM   0:00.13 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
kaustubh           711   0.0  0.1 426933680   9200   ??  S     5:39PM   0:00.08 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
root               710   0.0  0.1 426984528  20016   ??  Ss    5:39PM   0:00.25 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
kaustubh           701   0.0  0.1 426976608  10960   ??  S     5:39PM   0:00.05 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
kaustubh           709   0.0  0.3 411535536  49856   ??  S     5:39PM   0:00.20 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
kaustubh           708   0.0  1.9 413572832 326560   ??  S     5:39PM   0:12.34 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
kaustubh           707   0.0  0.2 426980096  29424   ??  S     5:39PM   0:00.28 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
kaustubh           705   0.0  0.1 426969072  18464   ??  S     5:39PM   0:00.13 /System/Library/CoreServices/ReportCrash agent
kaustubh           702   0.0  0.1 426932672   8416   ??  S     5:39PM   0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
root               704   0.0  0.1 426967456   9600   ??  Ss    5:39PM   0:00.05 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
kaustubh           700   0.0  0.3 427127264  46608   ??  S     5:39PM   0:01.03 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
kaustubh           699   0.0  0.1 426976352  15776   ??  Ss    5:39PM   0:00.09 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider
kaustubh           696   0.0  0.2 427029280  25664   ??  S     5:39PM   0:00.40 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
kaustubh           697   0.0  0.1 426969856  18624   ??  S     5:39PM   0:00.26 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
